name,id,nametype,recclass,mass,year,reclat,reclong,coordinates
Bulls Run,5163,Valid,Iron?,0.0,1964-01-01,0.0,0.0,"[0, 0]"
Bunburra Rockhole,48653,Valid,Eucrite,0.0,2007-01-01,-31.35,129.19,"[0, 0]"
Bununu,5165,Valid,Howardite,0.0,1942-01-01,10.01667,9.58333,"[0, 0]"
Bur-Gheluai,5169,Valid,H5,0.0,1919-01-01,5.0,48.0,"[0, 0]"
Burnwell,5175,Valid,H4-an,0.0,1990-01-01,37.62194,-82.23722,"[0, 0]"
Bursa,5177,Valid,L6,0.0,1946-01-01,40.2,29.23333,"[0, 0]"
Buschhof,5178,Valid,L6,0.0,1863-01-01,46.45,25.78333,"[0, 0]"
Bustee,5181,Valid,Aubrite,0.0,1852-01-01,26.78333,82.83333,"[0, 0]"
Butsura,5183,Valid,H6,0.0,1861-01-01,27.08333,84.08333,"[0, 0]"
Buzzard Coulee,48654,Valid,H4,0.0,2008-01-01,52.996,-109.84817,"[0, 0]"
Cabezo de Mayo,5185,Valid,L/LL6,0.0,1870-01-01,37.98333,-1.16667,"[0, 0]"
Cabin Creek,5186,Valid,"Iron, IIIAB",0.0,1886-01-01,35.5,-93.5,"[0, 0]"
Cacak,5187,Valid,OC,0.0,1919-01-01,43.83889,20.33333,"[0, 0]"
Cali,45976,Valid,H/L4,0.0,2007-01-01,3.405,-76.51,"[0, 0]"
Calivo,5200,Valid,Stone-uncl,0.0,1916-01-01,11.75,122.33333,"[0, 0]"
Campos Sales,5249,Valid,L5,0.0,1991-01-01,-7.03333,-40.16667,"[0, 0]"
Çanakkale,5250,Valid,L6,0.0,1964-01-01,39.8,26.6,"[0, 0]"
Cañellas,5251,Valid,H4,0.0,1861-01-01,41.25,1.66667,"[0, 0]"
Cangas de Onis,5252,Valid,H5,0.0,1866-01-01,43.38333,-5.15,"[0, 0]"
Canon City,5253,Valid,H6,0.0,1973-01-01,38.47028,-105.24139,"[0, 0]"
Cape Girardeau,5260,Valid,H6,0.0,1846-01-01,37.26667,-89.58333,"[0, 0]"
Capilla del Monte,5264,Valid,H6,0.0,1934-01-01,-30.88333,-64.55,"[0, 0]"
Carancas,45817,Valid,H4-5,0.0,2007-01-01,-16.66444,-69.04389,"[0, 0]"
Caratash,5265,Valid,LL6,0.0,1902-01-01,38.5,27.0,"[0, 0]"
Castalia,5291,Valid,H5,0.0,1874-01-01,36.08333,-78.06667,"[0, 0]"
Castel Berardenga,5292,Valid,Stone-uncl,0.0,1791-01-01,43.35,11.5,"[0, 0]"
Castine,5293,Valid,L6,0.0,1848-01-01,44.38333,-68.75,"[0, 0]"
Castrovillari,5295,Valid,Stone-uncl,0.0,,39.8,16.2,"[0, 0]"
Caswell County,5296,Valid,OC,0.0,1810-01-01,36.5,-79.25,"[0, 0]"
Ceniceros,5306,Valid,L3.7,0.0,1988-01-01,26.46667,-105.23333,"[0, 0]"
Centerville,5307,Valid,H5,0.0,1956-01-01,43.2,-96.91667,"[0, 0]"
Cereseto,5308,Valid,H5,0.0,1840-01-01,45.08333,8.3,"[0, 0]"
Chadong,5313,Valid,L6,0.0,1998-01-01,28.53333,109.31667,"[0, 0]"
Chail,5314,Valid,H6,0.0,1814-01-01,25.36667,81.66667,"[0, 0]"
