name,id,recclass,mass,fall,year,reclat,reclong,point coordinates
Bholghati,5041,Howardite,2500.0,Fell,1905-01-01,22.08333,86.9,"[22.08333, 86.9]"
Bialystok,5042,Eucrite-pmict,4000.0,Fell,1827-01-01,53.1,23.2,"[53.1, 23.2]"
Bielokrynitschie,5043,H4,1900.0,Fell,1887-01-01,50.13333,27.16667,"[50.13333, 27.16667]"
Bilanga,5045,Diogenite,25000.0,Fell,1999-01-01,12.45,-0.08333,"[12.45, -0.08333]"
Binningup,5051,H5,488.1,Fell,1984-01-01,-33.15639,115.67639,"[-33.15639, 115.67639]"
Birni N'konni,5056,H4,560.0,Fell,1923-01-01,13.76667,5.3,"[13.76667, 5.3]"
Bishopville,5059,Aubrite,6000.0,Fell,1843-01-01,34.16667,-80.28333,"[34.16667, -80.28333]"
Bishunpur,5060,LL3.15,1039.0,Fell,1895-01-01,25.38333,82.6,"[25.38333, 82.6]"
Bjelaja Zerkov,5063,H6,1850.0,Fell,1796-01-01,49.78333,30.16667,"[49.78333, 30.16667]"
Bjurböle,5064,L/LL4,330000.0,Fell,1899-01-01,60.4,25.8,"[60.4, 25.8]"
Black Moshannan Park,5065,L5,705.0,Fell,1941-01-01,40.91667,-78.08333,"[40.91667, -78.08333]"
Blackwell,5068,L5,2381.0,Fell,1906-01-01,36.83333,-97.33333,"[36.83333, -97.33333]"
Blanket,5071,L6,5100.0,Fell,1909-01-01,31.83333,-98.83333,"[31.83333, -98.83333]"
Blansko,5072,H6,470.0,Fell,1833-01-01,49.36667,16.63333,"[49.36667, 16.63333]"
Bloomington,5076,LL6,67.8,Fell,1938-01-01,40.48,-89.00417,"[40.48, -89.00417]"
Bo Xian,5090,LL3.9,7500.0,Fell,1977-01-01,33.83333,115.83333,"[33.83333, 115.83333]"
Bocas,5093,L6,56.0,Fell,1804-01-01,23.0,-102.0,"[23.0, -102.0]"
Bogou,5097,"Iron, IAB-MG",8800.0,Fell,1962-01-01,12.5,0.7,"[12.5, 0.7]"
Boguslavka,5098,"Iron, IIAB",256000.0,Fell,1916-01-01,44.55,131.63333,"[44.55, 131.63333]"
Borgo San Donino,5110,LL6,1676.0,Fell,1808-01-01,44.86667,10.05,"[44.86667, 10.05]"
Bori,5111,L6,8600.0,Fell,1894-01-01,21.95,78.03333,"[21.95, 78.03333]"
Boriskino,5112,CM2,1342.0,Fell,1930-01-01,54.23333,52.48333,"[54.23333, 52.48333]"
Borkut,5113,L5,7000.0,Fell,1852-01-01,48.15,24.28333,"[48.15, 24.28333]"
